GEOID,NAME,total_18_34,child_householder_18_34,basement_dweller_pct,median_rentE,median_home_valueE,median_household_incomeE,youth_unemployed_2534E,labor_force_2534E,median_rent,youth_unemployment_rate,rent_to_income_ratio,state,puma_name,coastal_state,high_cost
3604311,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA; New York,39675,16109,40.60239445494644,1662,1043300,64570,6.3,24210,1662,6.3,0.3088740901347375,NA,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA; New York,FALSE,FALSE
3604312,NYC-Brooklyn Community District 12--Borough Park & Kensington PUMA; New York,40839,15102,36.97935796664953,1718,1022600,62949,4.9,18494,1718,4.9,0.3275032168898632,NA,NYC-Brooklyn Community District 12--Borough Park & Kensington PUMA; New York,FALSE,FALSE
3604313,NYC-Brooklyn Community District 13--Coney Island & Brighton Beach PUMA; New York,19862,9704,48.857114087201694,1319,596600,45074,7.2,12378,1319,7.2,0.351155877002263,NA,NYC-Brooklyn Community District 13--Coney Island & Brighton Beach PUMA; New York,FALSE,FALSE
3604314,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA; New York,40162,15111,37.62511827100244,1677,891800,75016,5.8,19886,1677,5.8,0.2682627706089368,NA,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA; New York,FALSE,FALSE
3604315,NYC-Brooklyn Community District 15--Sheepshead Bay & Gravesend (East) PUMA; New York,31129,13308,42.75113238459314,1614,821200,73681,5.4,19031,1614,5.4,0.2628628818827106,NA,NYC-Brooklyn Community District 15--Sheepshead Bay & Gravesend (East) PUMA; New York,FALSE,FALSE
3604316,NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA; New York,23211,8854,38.1457067769592,1121,616700,36871,8.7,11255,1121,8.7,0.3648395758183939,NA,NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA; New York,FALSE,FALSE
3604317,NYC-Brooklyn Community District 17--East Flatbush PUMA; New York,37679,17009,45.141856206374904,1581,661900,66893,5.8,19119,1581,5.8,0.28361711987801413,NA,NYC-Brooklyn Community District 17--East Flatbush PUMA; New York,FALSE,FALSE
3604318,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA; New York,40550,22761,56.13070283600493,1674,701400,85464,3.9,25291,1674,3.9,0.2350463352990733,NA,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA; New York,FALSE,FALSE
3604401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA; New York,56098,10645,18.975721059574315,2030,824300,86106,9.3,20185,2030,9.3,0.28290711448679534,NA,NYC-Queens Community District 1--Astoria & Queensbridge PUMA; New York,FALSE,TRUE
3604402,"NYC-Queens Community District 2--Long Island City, Sunnyside, & Woodside PUMA; New York",31996,6785,21.205775721965246,2031,733900,89569,5.4,16143,2031,5.4,0.27210307137514095,NA,NYC-Queens Community District 2--Long Island City,FALSE,TRUE
